series,model,rmse_total,rmse_prey,rmse_predator,success,source_file,detection_method,confidence,time_col,prey_col,predator_col,group_key,K,a,c,d,delta,e,k,m,m0,mu,p,phi,q,r,theta,u0,u_scale,v0,v_scale,x0,y0
andren_lynx_roedeer_data_6,fear_memory,105.12685874338095,148.6693085253512,0.8657719650532961,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,6,579.2651403838083,0.5472686960598737,,,1.0,0.3,,,0.29313232830820773,0.5,,0.00010117730386662667,,0.1796966562057731,0.29026817116680353,,,,,1140.9128978224455,0.29313232830820773
andren_lynx_roedeer_data_6,bda_fear,0.11273524282748439,0.08348564258314807,0.1358256876780773,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,6,,0.28214780175483933,2.359485231735676,0.20476150170786117,,,0.0010873182857965309,0.3738536249118585,,,0.7571978009559363,,1.0241154699014716,0.5128753875076837,,1.0,1140.9128978224455,0.1346153846153846,2.1775544388609718,,
andren_lynx_roedeer_data_7,baseline,92.45968341602715,130.75740586356886,0.29483319667384944,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,7,630.0116324156647,0.20294980457420586,,,,0.3,,,,0.5,,,,0.07608269824985832,0.10000000000000002,,,,,1260.02326483133,0.07754943776657619
andren_lynx_roedeer_data_7,fear_memory,107.24252192576033,151.66354087216703,0.29561480154431874,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,7,632.1952166669782,0.4250783428106484,,,1.0,0.3,,,0.07754943776657619,0.5,,0.0018426250090751134,,0.12136073300241666,0.21040009878064356,,,,,1260.02326483133,0.07754943776657619
andren_lynx_roedeer_data_7,bda_fear,0.10024092399932084,0.09083222096292443,0.10883930045446683,False,/home/scc/pb23151824/project/data/raw/01_lynx_roe_deer/Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,7,,0.22558710052884468,2.087432371913025,0.1862291957129763,,,0.13804611112538254,0.2759720633114024,,,0.3930420709503898,,0.06872599828336176,0.4580780536591374,,1.0,1260.02326483133,0.07754943776657619,1.0,,
timeserieslogmeans_WRHW,baseline,596606.5137850867,843729.0223990158,36.64956145715473,True,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRHW,935470.2825743956,0.04000000000000001,,,,0.3,,,,0.5,,,,1.0,19.999999999999996,,,,,288.40315031266056,1.6982436524617444
timeserieslogmeans_WRHW,fear_memory,47978.15514163951,67851.35040815645,31.454411863368602,False,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRHW,834024.1735763737,0.4286355957762708,,,1.0,0.3,,,1.6982436524617444,0.5,,0.009807103976695335,,0.0818781416844194,0.1894129949819522,,,,,288.40315031266056,1.6982436524617444
timeserieslogmeans_WRHW,bda_fear,0.17405968576691738,0.14215727898844807,0.20095983790090144,False,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRHW,,0.0008800767244554028,2.689728639755261,0.06496489854951414,,,0.014807844327325792,0.16826714485205774,,,4.145012943837253,,0.8610795450901362,0.40394366402381654,,0.0006165950018614822,467735.1412871981,0.011481536214968828,147.91083881682073,,
timeserieslogmeans_TP,baseline,366.23330351708074,517.8913640456342,6.496172490070516,True,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,TP,576.806300625321,0.04000000000000001,,,,0.3,,,,0.5,,,,1.0,19.999999999999996,,,,,1.0,8.31763771102671
timeserieslogmeans_TP,fear_memory,37.678763438935576,52.888343912795094,6.496268677975667,True,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,TP,144.68293298947276,0.00351622420536051,,,1.0,0.3,,,8.31763771102671,0.5,,7.099137370314746e-05,,0.06329717498956496,2040.7915690892362,,,,,1.0,8.31763771102671
timeserieslogmeans_TP,bda_fear,0.16503503287781823,0.14874085621708008,0.1798590610610847,False,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,TP,,0.5623156665541755,0.15189499721757438,0.09966492219578363,,,0.00010054070158873376,0.06894016794547674,,,4.256999835003302,,0.004974375812088792,0.6427687749423979,,0.0034673685045253167,288.40315031266056,0.2754228703338167,30.19951720402016,,
timeserieslogmeans_WRGP,baseline,7410.4174219480365,10478.6409853807,163.26614628189236,True,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRGP,11776.873107111775,0.04000000000000001,,,,0.3,,,,0.5,,,,1.0,19.999999999999996,,,,,190.54607179632464,6.760829753919817
timeserieslogmeans_WRGP,fear_memory,1149.7732677320103,1617.8392213165384,162.95210447302404,False,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRGP,2995.324433793061,0.3407525503675051,,,1.0,0.3,,,6.760829753919817,0.5,,0.0046968898551267065,,0.050824809331640866,0.25313952722312516,,,,,190.54607179632464,6.760829753919817
timeserieslogmeans_WRGP,bda_fear,0.20900834943504712,0.2505142394313769,0.15688083410424702,False,/home/scc/pb23151824/project/data/raw/02_killifish_mosquitofish/TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRGP,,0.09594547155488282,0.1812847915622288,0.22410593169961673,,,0.025855431439917267,0.052108564281851115,,,4.554071478888475,,0.6747075071594109,0.3273157871630532,,0.03235936569296281,5888.43655355589,0.0066069344800759626,1023.2929922807537,,
