k,u_mean,v_mean,amplitude_u,amplitude_v,rel_amplitude_u,peak_decay_ratio,n_peaks,re_max,stability,status
0.08,4.975842883727736,5.136872878711383,1.67664107486587e-07,1.528711432996488e-07,3.369561929595707e-08,1.000000234539107,4,-0.48690676115126363,stable_focus,coexist
0.085,4.853621258221757,4.986132898954925,1.2108697777790667e-07,1.2453624886887837e-07,2.4947759896343836e-08,1.000000236826163,2,-0.4791012708614373,stable_focus,coexist
0.09,4.740019449417946,4.846024004031811,1.1669391852819899e-07,8.919917604544025e-08,2.461886913618646e-08,1.000000487576077,4,-0.4717976849422902,stable_focus,coexist
0.095,4.634093869279876,4.715382448734808,8.507595250506483e-08,8.175790977560382e-08,1.835870288883151e-08,1.0000004121416761,4,-0.4649421329301368,stable_focus,coexist
0.1,4.535038968748085,4.593214711368203,5.1408813206421655e-08,3.0570875608759707e-08,1.1335914324152599e-08,0.9999999606065569,4,-0.4584885952058392,stable_focus,coexist
0.105,4.442162222142299,4.478666728843691,9.18801887905829e-08,5.297250638136575e-08,2.0683663539480625e-08,1.000000384879508,5,-0.45239748138102,stable_focus,coexist
0.11,4.354864585927435,4.370999632840663,8.292488740124782e-08,4.0211819651858605e-08,1.9041898034950654e-08,0.9999998220323436,4,-0.44663451272734256,stable_focus,coexist
0.115,4.272624756717879,4.269570503482274,5.097485988869721e-08,1.2542597627174246e-07,1.193057260845317e-08,1.0000002222735944,4,-0.44116983435215706,stable_focus,coexist
0.12,4.194986740967074,4.173816959099153,6.723987411305643e-08,1.1035102875922576e-07,1.602862613519383e-08,0.9999998693132647,4,-0.4359773030874669,stable_focus,coexist
0.125,4.12154965689419,4.083244567349819,7.736174989503297e-08,1.2891459189035004e-07,1.8770063770948043e-08,0.999999749611744,5,-0.43103391126027973,stable_focus,coexist
0.13,4.051959469234286,3.9974166755646547,1.206872930481495e-07,9.01152810151018e-08,2.9784921089291212e-08,0.9999998423320647,5,-0.4263193166145343,stable_focus,coexist
0.135,3.985902198677125,3.915946046921603,1.1840271429974791e-07,1.135807967678204e-07,2.970537368905951e-08,0.9999995049440482,4,-0.4218154559399164,stable_focus,coexist
0.14,3.923098272727495,3.8384878738135586,7.607284358002175e-08,1.031140683949161e-07,1.939101146378698e-08,0.9999996891958707,4,-0.4175062252831957,stable_focus,coexist
0.145,3.863297828545865,3.7647339958398662,1.127678301848789e-07,7.947980629197104e-08,2.9189525423496644e-08,0.9999996127048596,4,-0.41337721354880136,stable_focus,coexist
0.15,3.8062768138572642,3.694408079396526,1.0231419178552414e-07,1.2709952468270558e-07,2.6880386474529526e-08,0.9999998967453526,4,-0.40941547923128974,stable_focus,coexist
0.155,3.7518336274438244,3.6272614808409926,8.246807992051686e-08,9.549624779836563e-08,2.198074011525492e-08,0.9999996457019434,4,-0.4056093622373154,stable_focus,coexist
0.16,3.6997863321561884,3.56306981725023,1.2748369160320294e-07,7.316210437480208e-08,3.445704161215901e-08,0.9999996872673286,4,-0.4019483244415244,stable_focus,coexist
0.165,3.649970289619633,3.501630023005472,1.1939898048041186e-07,7.54613860287634e-08,3.271231571938482e-08,0.9999997817986446,3,-0.3984228139164252,stable_focus,coexist
0.17,3.6022360577759738,3.442757806002546,7.79724351751554e-08,1.2849982411466954e-07,2.164556512248553e-08,0.999999890477417,6,-0.3950241487799745,stable_focus,coexist
0.17500000000000002,3.556447685472173,3.386285480008382,9.460957128837322e-08,8.73149805791229e-08,2.6602267109072444e-08,0.9999999582297552,4,-0.39174441738783894,stable_focus,coexist
