series,model,rmse_normalized_total,rmse_normalized_prey,rmse_normalized_predator,rmse_raw_total,rmse_raw_prey,rmse_raw_predator,optimization_status,usable_for_comparison,success,termination_reason,objective_value,parameter_bound_hits,source_file,detection_method,confidence,time_col,prey_col,predator_col,group_key,K,a,c,d,delta,e,k,m,m0,mu,p,phi,q,r,theta,u0,u_scale,v0,v_scale,x0,y0
andren_lynx_roedeer_data_5,bda_fear,0.08117665903192431,0.05214823198767842,0.10227346598081964,52.75156884048888,74.60110815477921,0.36151396184782314,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.3031238986929238,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,5,,0.31594046636616974,1.9796444482477884,0.06093104729209595,,,0.07500642347653763,0.20758468119984336,,,0.6567344905263165,,0.05594873671943823,0.2822074194544687,,1.0,1430.5587229190423,0.1774193548387097,3.5347776510832385,,
andren_lynx_roedeer_data_6,baseline,0.4414873604783714,0.17263834261223965,0.600015151129051,139.27857183467887,196.96531174499452,1.306565655724902,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.796443578486379,K,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,6,570.4564489112227,0.0073924539866756095,,,,0.51,,,,0.4,,,,0.8906778026120897,0.01752259719496456,,,,,1140.9128978224455,0.29313232830820773
andren_lynx_roedeer_data_6,fear_memory,0.15580950715165953,0.09238752173922314,0.20004437223918764,74.5340152713717,105.40611515013124,0.4356075107385995,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.9710641007537216,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,6,628.6460416567743,0.0014167988479956393,,,1.0,0.51,,,0.29313232830820773,0.4,,0.1960566839132241,,0.17178644510855628,4.482927525778293e-06,,,,,1140.9128978224455,0.29313232830820773
andren_lynx_roedeer_data_6,bda_fear,0.11273524282748792,0.083485642583145,0.13582568767808506,67.352137007653,95.24984640610495,0.29576782911475813,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.5083693990149069,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,6,,0.28214780175483933,2.359485231735676,0.20476150170786117,,,0.0010873182857965309,0.3738536249118585,,,0.7571978009559363,,1.0241154699014716,0.5128753875076837,,1.0,1140.9128978224455,0.1346153846153846,2.1775544388609718,,
andren_lynx_roedeer_data_7,baseline,40.773795062794754,0.6068202094129039,57.65966091540098,542.194333277854,764.6075814300785,57.65966091540098,success,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59850.085097620286,K,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,7,630.0116324156647,0.04861754706811664,,,,0.51,,,,0.4,,,,0.9900339505794082,0.005056819120522336,,,,,1260.02326483133,0.07754943776657619
andren_lynx_roedeer_data_7,fear_memory,0.15135326154658377,0.10526268102502463,0.18637432104504392,93.78608824292097,132.63342701005044,0.18637432104504392,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.8246811521083893,K,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,7,631.0630086320483,0.001160335661257343,,,1.0,0.51,,,0.07754943776657619,0.4,,8.855327402137662e-05,,0.08465677593131475,6.956820348181958e-07,,,,,1260.02326483133,0.07754943776657619
andren_lynx_roedeer_data_7,bda_fear,0.10024092399931588,0.09083222096294324,0.10883930045444197,80.92891088461249,114.4507116096085,0.10883930045444197,usable_limit,True,False,Maximum number of iterations has been exceeded.,0.3617367423925183,,D:\code\USTC_MM_26_animalfear\data\raw\01_lynx_roe_deer\Andren_lynx_roedeer_data.csv,lynx_roe_by_region,0.92,year,roe_deer_harvest_mean,lynx_family_groups,7,,0.22558710052884468,2.087432371913025,0.1862291957129763,,,0.13804611112538254,0.27597206331140245,,,0.3930420709503898,,0.06872599828336176,0.4580780536591374,,1.0,1260.02326483133,0.07754943776657619,1.0,,
timeserieslogmeans_WRHW,baseline,0.5237249331237059,0.14516130806507635,0.7262945723270252,48010.5209914305,67897.04493725298,107.42683942099437,failed,False,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,124000000000000.0,,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRHW,236206.246350035,0.04325,,,,0.51,,,,0.4,,,,1.0,0.005199999999999999,,,,,288.40315031266056,1.6982436524617444
timeserieslogmeans_WRHW,fear_memory,0.1794825336068499,0.14493487698563132,0.20837908045921485,47935.57633341371,67791.13516431693,30.821524582600244,usable_limit,True,False,Maximum number of iterations has been exceeded.,3.9945335038718173,,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRHW,20384400.338261742,0.002140827142018679,,,1.0,0.51,,,1.6982436524617444,0.4,,0.06992025388380586,,0.08981826875874276,2.901710004142965e-07,,,,,288.40315031266056,1.6982436524617444
timeserieslogmeans_WRHW,bda_fear,0.1740596857669163,0.14215727898844763,0.20095983790089986,47016.91695342927,66491.9549726652,29.724138192414415,usable_limit,True,False,Maximum number of iterations has been exceeded.,3.7568000019504275,,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRHW,,0.0008800767244554028,2.689728639755261,0.06496489854951414,,,0.014807844327325792,0.16826714485205774,,,4.145012943837253,,0.8610795450901362,0.40394366402381654,,0.0006165950018614822,467735.1412871981,0.011481536214968828,147.91083881682073,,
timeserieslogmeans_TP,baseline,0.2035577150981551,0.1919646296957107,0.2145252145966809,39.41481995711471,55.36320395284627,6.4785579089085825,success,True,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5.055160691869764,r;K;a,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,TP,144.20157515633022,2.0,,,,0.51,,,,0.4,,,,0.010000000000000004,9.887715989765335e-06,,,,,1.0,8.31763771102671
timeserieslogmeans_TP,fear_memory,0.17093973993802453,0.1867268765536469,0.1535378225476642,38.2204411260939,53.852619446115035,4.636768113495981,usable_limit,True,False,Maximum number of iterations has been exceeded.,3.564888152189694,,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,TP,160.3269326165578,0.1713517104742938,,,1.0,0.51,,,8.31763771102671,0.4,,0.0023107001804053904,,0.8677900751473913,1.9143396205237103e-10,,,,,1.0,8.31763771102671
timeserieslogmeans_TP,bda_fear,0.16503503287782473,0.14874085621709365,0.1798590610610854,30.57518558114703,42.897331513212286,5.431656808813161,usable_limit,True,False,Maximum number of iterations has been exceeded.,3.3228605733921315,k,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,TP,,0.5623156665541755,0.15189499721757438,0.09966492219578363,,,0.00010054070158873376,0.06894016794547674,,,4.256999835003302,,0.004974375812088792,0.6427687749423979,,0.0034673685045253167,288.40315031266056,0.2754228703338167,30.19951720402016,,
timeserieslogmeans_WRGP,baseline,0.2527750185251885,0.29595984534416075,0.20049486258924246,1240.8138598573207,1742.7407717093042,205.16498787586443,failed,False,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,112000000000000.0,,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRGP,2973.6604595457247,0.04325,,,,0.51,,,,0.4,,,,1.0,0.005199999999999999,,,,,190.54607179632464,6.760829753919817
timeserieslogmeans_WRGP,fear_memory,0.2114363029883621,0.25407171735568207,0.15766478009595963,1064.025517036654,1496.0851877019186,161.33726460168157,usable_limit,True,False,Maximum number of iterations has been exceeded.,5.006994744795282,,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRGP,73645.77617829641,0.0020982518954221147,,,1.0,0.51,,,6.760829753919817,0.4,,0.05379865938958606,,0.07355115993504283,0.0008414089997385035,,,,,190.54607179632464,6.760829753919817
timeserieslogmeans_WRGP,bda_fear,0.20900834943529503,0.2505142394316677,0.15688083410444328,1049.2381229869936,1475.1372046556844,160.53505816223628,usable_limit,True,False,Maximum number of iterations has been exceeded.,4.892662894970636,,D:\code\USTC_MM_26_animalfear\data\raw\02_killifish_mosquitofish\TimeSeriesLogMeans.csv,killifish_by_site,0.9,DATESEQ,ME2LOGHETADS,ME4LOGGAMBO,WRGP,,0.09594547155488282,0.1812847915622288,0.22410593169961673,,,0.025855431439917267,0.05210856428185112,,,4.554071478888475,,0.6747075071594109,0.3273157871630532,,0.03235936569296281,5888.43655355589,0.0066069344800759626,1023.2929922807537,,
