site,fullrep,species,uevent,totbit,totmsbit,grpsiz,posi,indfeeding
ks,ks_6_1,Siganus virgatus ,"ks_6_1_3,4_2",3,0.81064045,1,3,1
ks,ks_6_1,Siganus virgatus ,"ks_6_1_3,4_4",1,0.270213483,1,3,1
ks,ks_6_1,Siganus virgatus ,"ks_6_1_3,7_1",6,1.6212809,1,3,1
ks,ks_6_1,Siganus virgatus ,"ks_6_1_3,7_2",3,0.81064045,1,3,1
ks,ks_6_1,Siganus virgatus ,"ks_6_1_3,7_3",4,1.080853933,1,3,1
ks,ks_6_1,Siganus virgatus ,"ks_6_1_4,1_1",5,1.351067417,1,4,1
ks,ks_6_1,Siganus virgatus ,"ks_6_1_4,7_3",1,0.270213483,1,4,1
ks,ks_6_1,Siganus virgatus ,"ks_6_1_4,7_4",2,0.540426967,1,4,1
ks,ks_6_2,Siganus virgatus ,"ks_6_2_1,6_1",2,0.540426967,1,1,1
ks,ks_6_2,Siganus virgatus ,"ks_6_2_3,10_3",7,1.891494383,1,3,1
ks,ks_6_2,Siganus virgatus ,"ks_6_2_3,2_1",2,0.540426967,1,3,1
ks,ks_6_2,Siganus virgatus ,"ks_6_2_4,1_1",3,0.81064045,1,4,1
ks,ks_6_2,Siganus virgatus ,"ks_6_2_4,1_3",5,1.351067417,1,4,1
ks,ks_6_2,Siganus virgatus ,"ks_6_2_4,2_3",3,0.81064045,1,4,1
ks,ks_6_2,Siganus virgatus ,"ks_6_2_4,2_6",2,0.540426967,1,4,1
ks,ks_6_2,Siganus virgatus ,"ks_6_2_4,7_1",1,0.270213483,1,4,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_2,5_2",3,0.81064045,1,2,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_2,8_2",6,1.6212809,1,2,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_2,8_6",5,1.351067417,1,2,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_3,12_2",2,0.540426967,1,3,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_3,12_4",5,1.351067417,1,3,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_3,7_1",2,0.540426967,1,3,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_3,8_3",1,0.270213483,1,3,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_4,3_2",1,0.270213483,1,4,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_4,3_3",3,0.81064045,1,4,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_4,3_5",3,0.81064045,1,4,2
ks,ks_8_1,Siganus virgatus ,"ks_8_1_4,4_3",3,0.81064045,1,4,1
ks,ks_8_1,Siganus virgatus ,"ks_8_1_4,9_2",3,0.81064045,1,4,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_1,3_2",3,0.81064045,1,1,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_1,5_1",2,0.540426967,1,1,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_1,5_2",1,0.270213483,1,1,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_1,5_5",3,0.81064045,1,1,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_1,9_1",3,0.81064045,1,1,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_1,9_5",4,1.080853933,1,1,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,10_1",7,1.891494383,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,10_2",4,1.080853933,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,10_3",6,1.6212809,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,10_6",2,0.540426967,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,11_2",2,0.540426967,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,11_5",3,0.81064045,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,2_3",4,1.080853933,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,2_5",7,1.891494383,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,2_6",5,1.351067417,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,2_9",7,1.891494383,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_2,4_1",3,0.81064045,1,2,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,1_3",4,1.080853933,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,4_1",3,0.81064045,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,4_3",2,0.540426967,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,5_2",2,0.540426967,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,6_2",3,0.81064045,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,6_4",6,1.6212809,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,9_1",5,1.351067417,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,9_2",3,0.81064045,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,9_3",2,0.540426967,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_3,9_7",2,0.540426967,1,3,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_4,1_2",1,0.270213483,1,4,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_4,1_7",6,1.6212809,1,4,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_4,6_2",3,0.81064045,1,4,1
ks,ks_8_2,Siganus virgatus ,"ks_8_2_4,8_1",2,0.540426967,1,4,1
