date,no.,site,day,assay,fullrep,position,iweight,fweight,diff,diff.con,pro.diff,diffcronin,percronin,procronin,gcronin,gsubtract
5/10/2016,84,rl,7,2,rl_7_2,p,58.6,46.8,11.8,9.5,16.2116041,9.460069444,16.14346322,0.161434632,9.460069435,9.5
6/10/2016,85,ks,8,1,ks_8_1,1,64.8,55.6,5.6,2.9,4.475308642,6.373505654,9.835656874,0.098356569,6.373505671,2.9
6/10/2016,86,ks,8,1,ks_8_1,2,48,42.4,6.7,4,8.333333333,3.506300485,7.304792676,0.073047927,3.506300496,4
6/10/2016,87,ks,8,1,ks_8_1,3,54.9,48.2,9.2,6.5,11.83970856,4.305331179,7.842133296,0.078421333,4.305331182,6.5
6/10/2016,88,ks,8,1,ks_8_1,4,52,43.9,8.1,5.4,10.38461538,5.831825525,11.21504909,0.112150491,5.831825532,5.4
6/10/2016,89,ks,8,1,ks_8_1,c,61.9,59.2,2.7,,4.36187399,0,0,0,0,0
6/10/2016,90,ks,8,1,ks_8_1,p,44.4,35.8,8.6,5.9,13.28828829,6.663327948,15.00749538,0.150074954,6.663327958,5.9
6/10/2016,91,ks,8,2,ks_8_2,1,36.5,31.9,4.6,2.4,6.575342466,2.997205589,8.211522161,0.082115222,2.997205603,2.4
6/10/2016,92,ks,8,2,ks_8_2,2,47.7,41.4,6.3,4.1,8.595387841,4.205389222,8.816329605,0.088163296,4.205389219,4.1
6/10/2016,93,ks,8,2,ks_8_2,3,50.8,44.1,6.7,4.5,8.858267717,4.469261477,8.797758813,0.087977588,4.46926147,4.5
6/10/2016,94,ks,8,2,ks_8_2,4,47.5,41.8,5.7,3.5,7.368421053,3.614171657,7.608782435,0.076087824,3.61417164,3.5
6/10/2016,95,ks,8,2,ks_8_2,c,50.1,47.9,2.2,,4.391217565,0,0,0,0,0
6/10/2016,96,ks,8,2,ks_8_2,p,39.2,31.9,7.3,5.1,13.01020408,5.578642715,14.23123141,0.142312314,5.578642709,5.1
