series,m0,m0_over_y0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total,profile_rss,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold,optimization_status,r,K,a,theta,e,mu,phi,delta
andren_lynx_roedeer_data_2,0.3005804311774461,0.25,0.05636197971034832,0.13186498705726035,0.10140277996307882,0.07356080898744272,0.10104954217382735,0.08838043503068749,0.39073590380114204,0.7444809911066023,True,0.95,3.841458820694124,success,0.6599677138056741,55.96508278298964,0.24992836228533857,9.973583510478675e-10,0.010000000000000004,0.11158040850621873,0.2,1.0
andren_lynx_roedeer_data_2,0.6011608623548922,0.5,0.0555494775468532,0.13200521980722324,0.10126974501814862,0.07085348001234731,0.09954007990200855,0.08639572656317658,0.38971132772955175,0.6447076521427355,True,0.95,3.841458820694124,success,0.6442414939142032,57.0502483343614,0.2507690606735974,1.0005889137430587e-09,0.010000000000000004,0.11164452307138899,0.2,1.0
andren_lynx_roedeer_data_2,0.9017412935323383,0.75,0.05518344074563229,0.13198750542009255,0.10115807856900424,0.06825769082938558,0.0987018025649986,0.08485622601477145,0.38885236067136775,0.5608589909713776,True,0.95,3.841458820694124,success,0.6256100859497654,58.05169480796769,0.2493477013805459,9.989823319627239e-10,0.010000000000000004,0.11113292248121098,0.2,1.0
andren_lynx_roedeer_data_2,1.2023217247097844,1.0,0.05489498833465573,0.1319688987080281,0.10106742791441704,0.0656434114611743,0.09781640961243226,0.08329798154135597,0.3881557494389637,0.49272267790296814,True,0.95,3.841458820694124,success,0.6084638514190334,59.103584644790814,0.24827937509875833,9.988481569088759e-10,0.010000000000000004,0.11072008632695401,0.2,1.0
andren_lynx_roedeer_data_2,1.8034825870646767,1.5,0.05393015636890296,0.13211163202576467,0.10090080545388469,0.0628070561113913,0.0959123466030863,0.08106757837844306,0.3868769565672221,0.36732365190554445,True,0.95,3.841458820694124,success,0.5883761606292788,60.47999586739416,0.2467694425408316,9.991134435248597e-10,0.010000000000000004,0.1098473030032212,0.2,1.0
andren_lynx_roedeer_data_2,2.4046434494195688,2.0,0.05341531979641096,0.13207979714734952,0.10074291340694354,0.058120774820956456,0.09444726938465506,0.07841655169671109,0.38566711486531907,0.24830384719463647,True,0.95,3.841458820694124,success,0.5605346238770949,62.532054414341374,0.2441465454839695,9.985853553137104e-10,0.010000000000000004,0.10891601800683717,0.2,1.0
andren_lynx_roedeer_data_2,3.6069651741293534,3.0,0.05286088309186552,0.13197351340931657,0.10052681533514064,0.049743052688792554,0.0918580250525804,0.0738656485024009,0.38401434285416775,nan,False,,,failed,0.5113771905384633,66.88612216436194,0.23872856293335667,9.99562627372788e-10,0.010000000000000004,0.10692920123503756,0.2,1.0
andren_lynx_roedeer_data_2,6.011608623548922,5.0,0.05336678020597318,0.13159807427227488,0.10041430769995835,0.03839793651408963,0.08876614771962828,0.06838797595163541,0.3831552612527528,0.0,True,0.95,3.841458820694124,success,0.4338356997678254,76.18048963278926,0.22547832777886648,1.001301467765465e-09,0.010000000000000004,0.10252444260766423,0.2,1.0
andren_lynx_roedeer_data_7,0.0,0.0,0.0746924613098555,0.07493417892397268,0.07481341773884619,0.16412083984202905,0.23220313970585849,0.20106460175738466,0.15671732926547896,0.0,True,0.95,3.841458820694124,usable_limit,0.014467052319440352,630.0583289658151,0.0775800022986125,2.328141276665129e-05,0.010001860512853504,0.5934104465714438,3.5478178100023514e-05,1.0
andren_lynx_roedeer_data_7,0.019387359441644048,0.25,0.07453532413033213,0.07602627656464525,0.07528449133618954,0.1504453821805379,0.22560026153983426,0.1917410897881434,0.15869712980096637,0.3515066695791336,True,0.95,3.841458820694124,success,0.02427679338308023,764.785994669546,0.0771839717829343,7.749875443416845e-06,0.010011436741845044,0.6011862404293963,3.4942671320321034e-05,1.0
andren_lynx_roedeer_data_7,0.038774718883288095,0.5,0.07452211595847988,0.07607136592416598,0.07530072536336381,0.15052497725293376,0.22580735494777265,0.19189415093418768,0.15876557872696478,0.36358096937039375,True,0.95,3.841458820694124,success,0.02427850037798159,764.5650781102069,0.07720651411506906,7.749862052180495e-06,0.010009635010534767,0.6011959454498859,3.494265891748412e-05,1.0
