series,m0,m0_over_y0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total
komi_lynx_hare,27.0,1.5,0.22800125373343805,0.3010675977172789,0.26704519289745027,0.5229281698276769,0.6833694766883396,0.6084602338972609
komi_lynx_hare,36.0,2.0,0.22811877815075446,0.3031054889982522,0.2682453302537275,0.5229190495309688,0.683364933713349,0.6084537636465986
komi_lynx_hare,54.0,3.0,0.22839822846649943,0.3081799088496784,0.2712384624138245,0.5229010405648715,0.6833506640249064,0.6084380117345998
komi_lynx_hare,90.0,5.0,0.22943932764372144,0.32092336387867454,0.27895717462794095,0.5228634422647827,0.6833243359869045,0.6084070707219476
glerl_m110_zoop_1994-201,0.0,0.0,0.16151774815643527,0.17936432663903562,0.17067446299930214,0.3507613430713968,0.1884106412092301,0.2815422610498497
glerl_m110_zoop_1994-201,0.016,0.25,0.16151800823917412,0.1793659518706838,0.17067544005513266,0.35075993144474354,0.18840648381337186,0.28153999063191676
glerl_m110_zoop_1994-201,0.032,0.5,0.16151839285195763,0.1793609736961645,0.17067300623519163,0.35076101961070244,0.18840992474028884,0.281541819823433
glerl_m110_zoop_1994-201,0.048,0.75,0.1615182244625544,0.17936414107672433,0.17067459087064948,0.35075796430264367,0.18841452283223403,0.2815414551498882
glerl_m110_zoop_1994-201,0.064,1.0,0.16151651677994244,0.17936425486811872,0.17067384263137816,0.35076124392735425,0.18840841022241628,0.2815414527951463
glerl_m110_zoop_1994-201,0.096,1.5,0.16151856905617423,0.17936586927729664,0.17067566201944903,0.3507590098730029,0.18841056119347296,0.2815407808616087
glerl_m110_zoop_1994-201,0.128,2.0,0.16151846276427126,0.1793683183212717,0.17067689859956786,0.3507602336074537,0.18840680993673756,0.28154028797926367
glerl_m110_zoop_1994-201,0.192,3.0,0.1615177810325983,0.17936959159632182,0.1706772450842901,0.35075840855091595,0.18839972119495832,0.28153677922743
glerl_m110_zoop_1994-201,0.32,5.0,0.16151741490734062,0.1793687017061639,0.17067660424045353,0.3507554794390066,0.188407112205783,0.2815374276061798
andren_lynx_roedeer_data_3,0.0,0.0,0.04847678426943907,0.15237382308864775,0.11306586703279699,0.05387675261733625,0.09240498050325517,0.07563525928558922
andren_lynx_roedeer_data_3,0.25835866261398177,0.25,0.048481599239441446,0.15236855369122612,0.11306334865633925,0.053877787618110545,0.09238679429545653,0.07562451903586967
andren_lynx_roedeer_data_3,0.5167173252279635,0.5,0.048450841897379145,0.15236129919319388,0.11305186768117272,0.05387795853426725,0.09238221390212824,0.07562178211758433
andren_lynx_roedeer_data_3,0.7750759878419453,0.75,0.04843477778987387,0.152404632903052,0.11307762782679097,0.05387739850767173,0.0923802078026623,0.07562035725787579
andren_lynx_roedeer_data_3,1.033434650455927,1.0,0.0485066862990892,0.152379829643631,0.11307632620920315,0.053876829950924146,0.0924051389083373,0.07563538359203949
andren_lynx_roedeer_data_3,1.5501519756838906,1.5,0.0484820059872269,0.15238990815087458,0.11307782499406657,0.05387664067824909,0.09240480933701455,0.07563511485871882
andren_lynx_roedeer_data_3,2.066869300911854,2.0,0.04843585608166185,0.1523648840347451,0.11305107262048597,0.05387758703524227,0.09238028556664218,0.07562047191771043
andren_lynx_roedeer_data_3,3.1003039513677813,3.0,0.04846266381041419,0.15237970994373587,0.11306680721179471,0.05387712883865718,0.09240640438865759,0.07563626307511954
andren_lynx_roedeer_data_3,5.167173252279635,5.0,0.0484408432350285,0.15238321698848314,0.11306449511911276,0.0538789727568214,0.09239201901776357,0.07562813260787643
