series,k,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total
timeserieslogmeans_TP,0.01333521432163324,0.16421080558194162,0.1938098998743225,0.1796210816680007
timeserieslogmeans_TP,0.01778279410038923,0.16416608253123374,0.19380684115018254,0.1795989898778163
timeserieslogmeans_TP,0.023713737056616554,0.16411520451926095,0.19380229422830259,0.1795732853218323
timeserieslogmeans_TP,0.03162277660168379,0.16406195442834753,0.19379693055494954,0.1795460598055122
timeserieslogmeans_TP,0.042169650342858224,0.16401706263893598,0.19379048517655167,0.1795220724335422
timeserieslogmeans_TP,0.05623413251903491,0.16396764055609495,0.1937756520498209,0.17949149071316167
timeserieslogmeans_TP,0.07498942093324558,0.1640273332097262,0.193771330391808,0.1795164261588696
timeserieslogmeans_TP,0.1,0.16425637261319972,0.19377162872010165,0.17962126828536654
timeserieslogmeans_TP,0.12,0.16447707906949152,0.19376920746900897,0.17972091600923862
timeserieslogmeans_TP,0.15166666666666667,0.1649888233103459,0.19376830579348528,0.17995481119910375
timeserieslogmeans_TP,0.18333333333333335,0.16567914903766892,0.19377029287061934,0.18027271954598634
timeserieslogmeans_TP,0.215,0.1665777320202795,0.19377160538937327,0.18068698882348314
timeserieslogmeans_TP,0.24666666666666667,0.16748956598008757,0.19378899673886002,0.18111726859862373
timeserieslogmeans_TP,0.2783333333333333,0.16858137980607857,0.19382662862068323,0.18164311654970794
timeserieslogmeans_TP,0.31,0.1698305589228375,0.1938601649495216,0.18224184796349477
timeserieslogmeans_TP,0.3416666666666667,0.17118502777990463,0.19389992795337582,0.18289545619879552
timeserieslogmeans_TP,0.37333333333333335,0.17260914670157132,0.19394607878964573,0.18358785227095506
timeserieslogmeans_TP,0.405,0.1742150157489831,0.1940023813722328,0.18437434161308305
timeserieslogmeans_TP,0.4366666666666667,0.17580945071025733,0.19406030938518531,0.18515988582535398
timeserieslogmeans_TP,0.4683333333333334,0.177476046746647,0.19412852497269567,0.18598875151053162
timeserieslogmeans_TP,0.5,0.17915408654350773,0.1942014782316263,0.18682933505285979
