series,delta,memory_timescale,m0,rmse_normalized_prey,rmse_normalized_predator,rmse_normalized_total,validation_rmse_normalized_prey,validation_rmse_normalized_predator,validation_rmse_normalized_total,profile_rss,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold,optimization_status,r,K,a,theta,e,mu,phi
andren_lynx_roedeer_data_2,6.493816315762113,0.1539926526059492,1.2023217247097844,0.06031085119981886,0.13206721990274725,0.10266243067765173,0.08016542772099405,0.1034057624976041,0.0925182347415925,0.4005038375604586,2.8345363717846372,True,0.95,3.841458820694124,success,0.5624879116406071,53.681702493486995,0.2938738495481467,1.000330907968657e-09,0.010000000000000004,0.12612969308045135,0.2
andren_lynx_roedeer_data_2,10.0,0.1,1.2023217247097844,0.06074313140194699,0.13208740716197628,0.10280275079804017,0.08156036959835952,0.10411027953385762,0.09351749620696381,0.4015994117224701,2.9383430677016342,True,0.95,3.841458820694124,success,0.5634867883585671,53.13308100209736,0.2967204618339727,9.988646110352042e-10,0.010000000000000004,0.12713841442130439,0.2
andren_lynx_roedeer_data_7,0.01,100.0,0.07754943776657619,0.07483197645591248,0.0753261175171013,0.07507945351592003,0.1621591305293574,0.22900125502441457,0.19841516879613078,0.1578338815269775,0.26476099344610987,True,0.95,3.841458820694124,usable_limit,0.014766811100275756,630.0128246305343,0.07616191669444455,1.2176570733856781e-05,0.010000561235743997,0.5880757232245467,3.4474199590874544e-05
andren_lynx_roedeer_data_7,0.01539926526059492,64.93816315762113,0.07754943776657619,0.0747925991494667,0.07477050945096203,0.07478155511584797,0.1655064624701376,0.23220234951832516,0.20163124787741793,0.156583867595249,0.042123597239702625,True,0.95,3.841458820694124,usable_limit,0.014320041066125586,630.0116324156647,0.07910935259144088,3.75264172610636e-05,0.010000000000000004,0.5975042600681578,3.402784737260927e-05
andren_lynx_roedeer_data_7,0.023713737056616554,42.169650342858226,0.07754943776657619,0.07359021118283052,0.08120314693068316,0.07749022600747693,0.15864853405695897,0.22671838664788405,0.1956662773737998,0.16813258354731592,nan,False,,,failed,0.02428519936884963,766.7914541104778,0.07725022624985793,7.74857280605765e-06,0.010100000000000003,0.6012746741454321,3.494267202312098e-05
andren_lynx_roedeer_data_7,0.03651741272548377,27.384196342643612,0.07754943776657619,0.07456624218878115,0.07625500937415812,0.07541535297540185,0.15016760432441534,0.22599487509920632,0.19186452637165635,0.15924931300332468,0.5147417257432095,True,0.95,3.841458820694124,success,0.024283990429595604,765.2377755205716,0.07710204245710606,7.74939703077098e-06,0.010041435303448332,0.6026415232517504,3.494266813828628e-05
andren_lynx_roedeer_data_7,0.05623413251903491,17.78279410038923,0.07754943776657619,0.07359849367410087,0.08126526585671742,0.07752671057725727,0.15858253940149672,0.22646861558992304,0.1954948281288326,0.1682909438820348,2.0609944024104982,True,0.95,3.841458820694124,success,0.024285199368849653,766.7914541104765,0.07725022624985642,7.74857280605765e-06,0.010100000000000003,0.601274674145442,3.494267202312098e-05
andren_lynx_roedeer_data_7,0.08659643233600653,11.547819846894583,0.07754943776657619,0.07468219303542477,0.07615570358362714,0.07542254684408944,0.1494114120255988,0.22551942728829294,0.19128876355907956,0.15927969602856826,0.520083309619582,True,0.95,3.841458820694124,success,0.02429343080690445,766.2711125514695,0.07678737933313884,7.748962285023979e-06,0.010099600572976423,0.6043492256034682,3.4942674204322015e-05
andren_lynx_roedeer_data_7,0.1333521432163324,7.498942093324558,0.07754943776657619,0.0736139063055899,0.08133701033371153,0.07757163286793202,0.1586167281580317,0.2267140360443167,0.1956508632629341,0.16848603032232248,2.0934337991474568,True,0.95,3.841458820694124,success,0.024285199368849642,766.7914541104772,0.07725022624985714,7.74857280605765e-06,0.010100000000000003,0.6012746741454372,3.494267202312098e-05
andren_lynx_roedeer_data_7,0.2053525026457146,4.869675251658631,0.07754943776657619,0.0751898074644994,0.07493293432379491,0.07506148077716908,0.16118701527920049,0.2346659737050131,0.20130744286977956,0.15775832510091706,0.2513539452004181,True,0.95,3.841458820694124,usable_limit,0.013362660451872137,630.0116324156647,0.07677442997077405,1.3177425008363992e-05,0.01000000353298465,0.596437426028528,3.49527966212787e-05
