series,study,model,training_rmse,validation_rmse,aicc,optimization_status,usable_for_comparison,fear_parameter,fear_value,parameter_bound_hits,objective_value,n_parameters
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_foraging,3.279536899047146,0.5339558725615253,86.11132449432846,success,True,psi,1.3259692628118135e-05,,301.15014375786194,7
andren_lynx_roedeer_data_7,andren_lynx_roedeer,fear_handling,3.533318317018633,0.5339765483076603,90.28529790226766,success,True,psi,1.3729126500795851e-05,,349.56147323688197,7
timeserieslogmeans_WRHW,killifish_mosquitofish,baseline,0.5829245286228879,0.16538873746328348,-92.85764375667014,failed,False,,,,98000000000000.0,6
timeserieslogmeans_WRHW,killifish_mosquitofish,fear_instant,0.4912253436378175,0.1644607205707807,-124.08260794831739,failed,False,phi,0.02,,98000000000000.0,7
timeserieslogmeans_WRHW,killifish_mosquitofish,fear_memory,0.20987335466157947,0.21958932668273035,-290.7607521879411,success,True,phi,0.06332933030370677,K,4.316568334805996,7
timeserieslogmeans_WRHW,killifish_mosquitofish,fear_saturating,0.47317352699113424,0.16538873774803628,-131.42100180195845,failed,False,phi,0.2,,98000000000000.0,7
timeserieslogmeans_WRHW,killifish_mosquitofish,fear_foraging,0.20986695627607804,0.2194588361173621,-290.76672770911784,success,True,psi,0.06377332474255608,K,4.316324499236927,7
timeserieslogmeans_WRHW,killifish_mosquitofish,fear_handling,0.2098670044608129,0.21947941777909655,-290.76668270819385,success,True,psi,0.06335873710820425,K,4.316324459563086,7
timeserieslogmeans_TP,killifish_mosquitofish,baseline,0.21353029044860902,0.2788490930899647,-283.4996832772344,success,True,,,K,4.377691350447318,6
timeserieslogmeans_TP,killifish_mosquitofish,fear_instant,0.21298651525314222,0.2673950875991796,-281.6603461251897,success,True,phi,0.0451062138265975,K,4.355201731424621,7
timeserieslogmeans_TP,killifish_mosquitofish,fear_memory,0.31071140002668757,0.3353757360033404,-209.15430091829168,success,True,phi,0.020000000000001263,,9.267325430219802,7
timeserieslogmeans_TP,killifish_mosquitofish,fear_saturating,0.2136516952591841,0.27652634672656395,-281.0616437047385,success,True,phi,0.4250030236431156,K,4.382439222504304,7
timeserieslogmeans_TP,killifish_mosquitofish,fear_foraging,0.21383057169556904,0.29372910327095636,-280.9009620557193,success,True,psi,1.4700617334486078e-05,K,4.389978850537507,7
timeserieslogmeans_TP,killifish_mosquitofish,fear_handling,0.21342817512367646,0.28107069266551477,-281.2626172130307,success,True,psi,0.009111330665795501,K,4.373389408771037,7
timeserieslogmeans_WRGP,killifish_mosquitofish,baseline,0.2803418543581274,0.10004304325512837,-210.7901730914384,failed,False,,,,88000000000000.0,6
timeserieslogmeans_WRGP,killifish_mosquitofish,fear_instant,0.2195614907192453,0.4146274101719125,-251.4376384516087,usable_limit,True,phi,0.023231795065249312,,4.242237842730478,7
timeserieslogmeans_WRGP,killifish_mosquitofish,fear_memory,0.2686932977350238,0.10001955485224008,-215.89650842720778,failed,False,phi,0.02,,88000000000000.0,7
timeserieslogmeans_WRGP,killifish_mosquitofish,fear_saturating,0.2727301449391935,0.1000094991608655,-213.2719516825932,failed,False,phi,0.2,,88000000000000.0,7
timeserieslogmeans_WRGP,killifish_mosquitofish,fear_foraging,0.26639707648698824,0.3391093683629576,-217.40704735623478,success,True,psi,0.06324555320340043,,6.245163571363986,7
timeserieslogmeans_WRGP,killifish_mosquitofish,fear_handling,0.23326590801962876,0.25395320939522303,-240.7814182392286,success,True,psi,0.03632175478570488,K,4.789079056781194,7
