series,study,pathway,fear_parameter,fear_strength,profile_rss,rmse_normalized_total,validation_rmse_normalized_total,optimization_status,profile_likelihood_ratio,inside_confidence_interval,confidence_level,likelihood_ratio_threshold
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_handling,psi,4.536909069643579e-06,0.40381779305397963,0.10308629408285229,0.09477883136756227,usable_limit,0.0020635990468306983,True,0.95,3.841458820694124
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_handling,psi,1.3610727208930738e-05,0.4041108511766445,0.10312369312430537,0.09744729406855498,usable_limit,0.029630907692687978,True,0.95,3.841458820694124
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_handling,psi,4.083218162679221e-05,0.4041312246159882,0.10312629260637915,0.0980676533397946,usable_limit,0.0315466473415182,True,0.95,3.841458820694124
andren_lynx_roedeer_data_2,andren_lynx_roedeer,fear_handling,psi,0.0001361072720893074,0.40411858393949296,0.10312467976849711,0.09677558092105353,success,0.030358040300052156,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_instant,phi,0.0,0.4854096730839208,0.11302185083144912,0.07552038881496677,success,2.6675976137284624e-05,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_instant,phi,0.028683445302036165,0.48540963077569743,0.1130218459059665,0.07552002823859703,success,2.336390254970543e-05,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_instant,phi,0.09561148434012055,0.48540953158844186,0.11302183435868089,0.07551960006797717,success,1.5599087309122813e-05,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_instant,phi,0.28683445302036165,0.4854093323267547,0.11302181116082193,0.07553802945154339,success,0.0,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_instant,phi,0.8605033590610849,0.5215975346160604,0.11715908377479298,0.07260621643641457,usable_limit,2.7323430646669458,True,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_instant,phi,2.8683445302036166,0.7876549572583408,0.14397139310680518,0.2006610173573726,usable_limit,18.394568925499375,False,0.95,3.841458820694124
andren_lynx_roedeer_data_3,andren_lynx_roedeer,fear_memory,phi,0.0,1.7810947704411124,0.21649691686397804,0.1059180315777118,usable_limit,22.584085891575313,False,0.95,3.841458820694124
