k,u_mean,v_mean,amplitude_u,amplitude_v,rel_amplitude_u,peak_decay_ratio,n_peaks,re_max,stability,status
0.105,4.442162222142286,4.478666728843687,9.188035932083949e-08,5.297276040039378e-08,2.068370192850118e-08,1.0000003848799477,5,-0.45239748138102,stable_focus,coexist
0.11,4.354864585927425,4.370999632840792,8.292513520302691e-08,4.021153898747798e-08,1.9041954937243344e-08,0.9999998220305534,4,-0.44663451272734256,stable_focus,coexist
0.115,4.272624756717893,4.26957050348227,5.0974908738510294e-08,1.2542605354326497e-07,1.1930584041662425e-08,1.000000222273992,4,-0.44116983435215706,stable_focus,coexist
0.12,4.194986740967092,4.173816959099158,6.723969825372933e-08,1.103512383693328e-07,1.6028584213886742e-08,0.9999998693128543,4,-0.4359773030874669,stable_focus,coexist
0.125,4.121549656894231,4.083244567349879,7.736197638053e-08,1.2891471534715038e-07,1.877011872248693e-08,0.9999997496104364,5,-0.43103391126027973,stable_focus,coexist
0.13,4.051959469234273,3.9974166755646516,1.2068714561053184e-07,9.011527390967444e-08,2.9784884702545886e-08,0.9999998423328108,5,-0.4263193166145343,stable_focus,coexist
0.135,3.98590219867712,3.915946046921603,1.184025331113503e-07,1.1358071416722737e-07,2.9705328231748104e-08,0.9999995049445171,4,-0.4218154559399164,stable_focus,coexist
0.14,3.923098272727459,3.838487873813597,7.607264995712626e-08,1.031138836538048e-07,1.9390962109200036e-08,0.9999996891938822,4,-0.4175062252831957,stable_focus,coexist
0.145,3.863297828545802,3.7647339958398107,1.1276681766148045e-07,7.947865787727437e-08,2.918926333565316e-08,0.9999996127077937,4,-0.41337721354880136,stable_focus,coexist
0.15,3.8062768138573237,3.6944080793965743,1.0231373126501353e-07,1.2709935193200295e-07,2.68802654847711e-08,0.9999998967432762,4,-0.40941547923128974,stable_focus,coexist
0.155,3.751833627443796,3.627261480840989,8.246822513768848e-08,9.549667545627472e-08,2.1980778820908385e-08,0.9999996457069852,4,-0.4056093622373154,stable_focus,coexist
0.16,3.6997863321561826,3.5630698172502324,1.2748350686209164e-07,7.316200534290829e-08,3.445699167924546e-08,0.9999996872680623,4,-0.4019483244415244,stable_focus,coexist
0.165,3.649970289619613,3.501630023005486,1.19399401921072e-07,7.5461268789212e-08,3.271243118351941e-08,0.9999997817974507,3,-0.3984228139164252,stable_focus,coexist
0.17,3.6022360577759827,3.4427578060025517,7.797259726771699e-08,1.2849980723927956e-07,2.16456101202477e-08,0.9999998904769359,6,-0.3950241487799745,stable_focus,coexist
0.17500000000000002,3.5564476854721727,3.3862854800083917,9.460941052807925e-08,8.731500056313735e-08,2.6602221906581597e-08,0.9999999582319591,4,-0.39174441738783894,stable_focus,coexist
0.18,3.5124811747266373,3.332060114116762,9.997088046276303e-08,6.817694142569053e-08,2.846161317022386e-08,0.9999996385918284,4,-0.38857639221312,stable_focus,coexist
