species,tank,cage,individual,treatment,nf1.act.mm,f.act.mm,nf2.act.mm,head.width.mm,
ensi,7,3,11,cage,377,250,284,1.641456,
ensi,7,3,13,cage,429,448,360,2.034816,
ensi,7,3,14,cage,326,137,472,2.560503,
ensi,7,3,15,cage,524,379,401,2.364936,
ensi,7,3,16,cage,383,297,523,2.23068,
ensi,7,3,17,cage,360,203,245,1.799066,
ensi,7,3,18,cage,385,384,272,1.893036,
ensi,7,3,19,cage,428,246,448,1.594599,
ensi,7,2,1,cage,329,194,391,2.369588,
ensi,7,2,2,cage,44,113,259,2.142437,
ensi,7,2,3,cage,519,53,327,2.538445,
ensi,7,2,4,cage,215,355,229,2.225516,
ensi,7,2,5,cage,315,62,211,2.068351,
ensi,7,2,6,cage,328,358,213,1.783176,
ensi,7,2,7,cage,283,83,331,2.482708,
ensi,7,2,8,cage,213,93,141,2.280547,
ensi,7,2,9,cage,349,240,410,2.471742,
ensi,7,2,10,cage,224,245,359,2.216425,
ensi,7,2,11,cage,236,32,284,2.233238,
ensi,7,2,12,cage,311,222,281,2.137385,
ensi,7,2,13,cage,265,231,423,2.119143,
ensi,7,2,14,cage,233,324,214,1.708066,
ensi,7,2,15,cage,419,422,233,1.909676,
ensi,7,2,16,cage,440,353,127,2.206926,
ensi,7,2,17,cage,455,108,385,2.107133,
ensi,8,3,1,cage,66,321,246,2.828266,
ensi,8,3,2,cage,213,162,341,2.894274,
ensi,8,3,3,cage,427,392,269,2.50585,
ensi,8,3,4,cage,241,342,292,2.149813,
ensi,8,3,5,cage,41,27,105,2.535745,
ensi,8,3,6,cage,328,62,371,2.636788,
ensi,8,3,7,cage,364,140,512,2.613041,
ensi,8,3,8,cage,373,310,202,1.920235,
ensi,8,3,9,cage,354,348,324,2.362396,
ensi,8,3,10,cage,336,360,332,2.095376,
ensi,8,3,11,cage,267,336,233,1.66185,
ensi,8,3,12,cage,350,21,235,2.034701,
ensi,8,3,13,cage,147,312,194,2.688315,
ensi,8,3,14,cage,307,280,243,2.052631,
ensi,8,3,15,cage,166,211,306,2.44903,
ensi,8,3,16,cage,288,273,475,2.642755,
ensi,8,2,1,cage,275,41,430,2.296778,
ensi,8,2,3,cage,201,31,142,2.66331,
ensi,8,2,4,cage,273,390,280,2.212299,
ensi,8,2,5,cage,493,298,411,2.378257,
ensi,8,2,6,cage,285,76,398,2.605983,
ensi,8,2,7,cage,413,444,244,1.934868,
ensi,8,2,8,cage,249,267,466,2.378257,
ensi,8,2,9,cage,512,368,429,2.222998,
ensi,8,2,10,cage,373,366,357,2.027924,
ensi,8,2,11,cage,358,109,301,2.226249,
ensi,8,2,12,cage,461,435,376,2.206673,
ensi,8,2,13,cage,463,319,373,2.674387,
ensi,8,2,14,cage,452,377,445,2.65676,
ensi,8,2,15,cage,465,417,355,2.385488,
ensi,8,2,16,cage,333,348,437,1.66185,
ensi,8,2,17,cage,365,428,359,2.206143,
ensi,8,1,1,cage,321,260,397,1.848727,
ensi,8,1,2,cage,393,343,357,1.950686,
ensi,8,1,3,cage,451,372,285,2.198847,
ensi,8,1,4,cage,332,264,346,2.661892,
ensi,8,1,5,cage,377,52,249,2.629757,
ensi,8,1,6,cage,427,285,423,2.236068,
ensi,8,1,7,cage,389,313,385,1.993433,
ensi,8,1,8,cage,279,456,513,2.409124,
ensi,8,1,9,cage,350,289,340,2.488408,
ensi,8,1,10,cage,284,268,312,2.43061,
ensi,8,1,11,cage,485,417,359,1.919998,
ensi,8,1,12,cage,281,210,166,1.944934,
ensi,8,1,13,cage,526,460,207,2.305425,
ensi,8,1,14,cage,346,255,422,1.680353,
