,lake,species,ind.id,act.mm,head.width.mm,mean.act.mm,diff,mean.diff,N,sd,se,recov,recov.mean,fish,fish.density
144,lincoln,ensi,8,323,0,223.75,94,5.2,20,98.12054884,21.94042172,88,72.65,0,0.987654321
145,lincoln,ensi,9,260,0,223.75,56,5.2,20,98.12054884,21.94042172,45,72.65,0,0.987654321
146,lincoln,ensi,10,73,0,223.75,108,5.2,20,98.12054884,21.94042172,346,72.65,0,0.987654321
147,lincoln,ensi,11,50,0,223.75,95,5.2,20,98.12054884,21.94042172,335,72.65,0,0.987654321
148,lincoln,ensi,12,343,0,223.75,62,5.2,20,98.12054884,21.94042172,-258,72.65,0,0.987654321
149,lincoln,ensi,13,219,0,223.75,-174,5.2,20,98.12054884,21.94042172,108,72.65,0,0.987654321
150,lincoln,ensi,14,45,0,223.75,15,5.2,20,98.12054884,21.94042172,136,72.65,0,0.987654321
151,lincoln,ensi,15,253,0,223.75,-38,5.2,20,98.12054884,21.94042172,124,72.65,0,0.987654321
152,lincoln,ensi,16,224,0,223.75,62,5.2,20,98.12054884,21.94042172,97,72.65,0,0.987654321
153,lincoln,ensi,17,230,0,223.75,57,5.2,20,98.12054884,21.94042172,28,72.65,0,0.987654321
154,lincoln,ensi,18,191,0,223.75,65,5.2,20,98.12054884,21.94042172,55,72.65,0,0.987654321
155,lincoln,ensi,19,117,0,223.75,-25,5.2,20,98.12054884,21.94042172,267,72.65,0,0.987654321
156,lincoln,ensi,20,295,0,223.75,0,5.2,20,98.12054884,21.94042172,-34,72.65,0,0.987654321
157,greenwood,ensi,1,267,1.517458,147.3157895,137,102.6842105,19,110.4928618,25.34880098,11,115.2105263,0,2.814814815
158,greenwood,ensi,2,103,1.896822,147.3157895,178,102.6842105,19,110.4928618,25.34880098,408,115.2105263,0,2.814814815
159,greenwood,ensi,3,6,2.188155,147.3157895,252,102.6842105,19,110.4928618,25.34880098,277,115.2105263,0,2.814814815
